nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
TRULS-MOREGARD,10783,10792,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m2,,bloc,-8.771706771850585,-81.31978816986084,2,TRULS-MOREGARD,FAN-ZHENDONG,-91.79021120071411,103.16958897908529,100,10786,,,,,
FAN-ZHENDONG,10793,10807,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,topspin,-40.786562538146974,54.85726102193197,2,FAN-ZHENDONG,TRULS-MOREGARD,40.41824111938477,-379.80939699808755,100,10800,,,,,
TRULS-MOREGARD,10808,10819,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,bloc,37.01680450439453,-105.59013667106629,2,TRULS-MOREGARD,FAN-ZHENDONG,-76.37641058415174,124.67766151428222,100,10810,,,,,
FAN-ZHENDONG,10820,10832,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g2,,topspin,-52.90440244674683,86.80293604532878,2,FAN-ZHENDONG,TRULS-MOREGARD,87.29873199462891,-386.894956334432,100,10826,,,,,
TRULS-MOREGARD,10833,10844,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,topspin,-23.49451427459717,-108.93094145456949,2,TRULS-MOREGARD,FAN-ZHENDONG,-130.70406761169434,159.55704498291016,100,10836,,,,,
FAN-ZHENDONG,10845,10865,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,49.172777557373045,-387.5977321624756,100,10852,,,,,
FAN-ZHENDONG,11486,11524,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-66.12681884765625,71.18342882792155,2,FAN-ZHENDONG,TRULS-MOREGARD,58.16545181274414,-241.5953483581543,100,11512,37.02796630859375,-129.97620759407678,2,11514,
TRULS-MOREGARD,11525,11534,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,topspin,41.08073043823242,-95.24435520172119,2,TRULS-MOREGARD,FAN-ZHENDONG,-70.45428748130799,22.9080322265625,100,11526,,,,,
FAN-ZHENDONG,11535,11545,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-58.90427989959717,121.25297508239746,2,FAN-ZHENDONG,TRULS-MOREGARD,84.47688293457031,-245.0922773996989,100,11538,,,,,
TRULS-MOREGARD,11546,11552,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,bloc,-76,-101.83887775739034,2,TRULS-MOREGARD,FAN-ZHENDONG,-97.81205530166626,100.13787307739258,100,11547,,,,,
