nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation,num_coup,winner,premier_topspin,serveur,relanceur,pos_balle_x_prece,pos_balle_y_prece,pos_balle_z_prece,pos_joueur_0_x,pos_joueur_0_y,pos_joueur_0_z,pos_joueur_1_x,pos_joueur_1_y,pos_joueur_1_z,pos_joueur_2_x,pos_joueur_2_y,pos_joueur_2_z,pos_joueur_3_x,pos_joueur_3_y,pos_joueur_3_z,dist_equipe_1_x,dist_equipe_1_y,dist_equipe_2_x,dist_equipe_2_y,dist_eucl_equipe_1,dist_eucl_equipe_2,num_point,service_lateralite,service_zone,remise_lateralite,remise_effet_coup,remise_zone,faute_du_point,faute_lateralite,nb_coup,valeur_derniere_zone,pos_joueur_0_debut_x,pos_joueur_0_debut_y,pos_joueur_0_debut_z,pos_joueur_1_debut_x,pos_joueur_1_debut_y,pos_joueur_1_debut_z,pos_joueur_0_frappe_x,pos_joueur_0_frappe_y,pos_joueur_0_frappe_z,pos_joueur_1_frappe_x,pos_joueur_1_frappe_y,pos_joueur_1_frappe_z,pos_joueur_0_fin_x,pos_joueur_0_fin_y,pos_joueur_0_fin_z,pos_joueur_1_fin_x,pos_joueur_1_fin_y,pos_joueur_1_fin_z,cote_jA,cote_jB,derniere_zone
TRULS-MOREGARD,9066,9075,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,bloc,12.344977188110352,-129.96346671183903,2,TRULS-MOREGARD,FAN-ZHENDONG,-53.73555459976196,93.10753657023112,100,9068,,,,,,4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-24.875385284423828,120.61165860493978,2,72.18286,-180.35977,g4,-90.28247,356.35492,h8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,72.18286,-180.35977,g4,-90.28247,356.35492,h8,68.15973,-212.56488,g5,-87.03815,341.29388,h8,58.295288,-172.4404,g4,-85.831055,353.20367,h8,haut,bas,0
FAN-ZHENDONG,9076,9086,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-72.31501482725143,96.56141967773438,2,FAN-ZHENDONG,TRULS-MOREGARD,27.335446929931642,-364.21899935404457,100,9078,,,,,,5,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,12.344977188110352,-129.96346671183903,2,56.567505,-172.44537,g4,-85.610535,359.14,h8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,56.567505,-172.44537,g4,-85.610535,359.14,h8,49.756348,-196.48901,g5,-85.180176,350.19745,h8,36.680786,-192.52228,g5,-87.10864,379.83923,h8,haut,bas,0
TRULS-MOREGARD,9087,9098,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,topspin,-22.77628116607666,-129.94533801078796,2,TRULS-MOREGARD,FAN-ZHENDONG,-88.06409201622009,96.82959009806315,100,9089,,,,,,6,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-72.31501482725143,96.56141967773438,2,42.81848,-208.65775,g5,-90.24164,377.03583,h8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,42.81848,-208.65775,g5,-90.24164,377.03583,h8,57.795715,-228.9468,g6,-95.72839,353.59247,h8,107.34082,-216.37466,h5,-103.60687,365.78748,h8,haut,bas,0
FAN-ZHENDONG,9099,9111,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-55.389752101898196,105.65519116719564,2,FAN-ZHENDONG,TRULS-MOREGARD,31.64821586608887,-416.00386772155764,100,9106,,,,,,7,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-22.77628116607666,-129.94533801078796,2,109.859436,-212.3092,h5,-102.72095,368.7094,h8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,109.859436,-212.3092,h5,-102.72095,368.7094,h8,113.8421,-196.18008,h5,-69.02197,331.5905,g8,124.531494,-140.88354,h4,-50.101685,354.76672,g8,haut,bas,1
TRULS-MOREGARD,9112,9134,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,TRULS-MOREGARD,FAN-ZHENDONG,-91.45349617004395,84.2706122080485,100,9114,,,,,,8,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-55.389752101898196,105.65519116719564,2,121.14136,-140.88461,h4,-51.928284,342.93726,g8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,121.14136,-140.88461,h4,-51.928284,342.93726,g8,115.376526,-148.68402,h4,-60.628174,331.27484,g8,34.922485,-156.64261,g4,-86.486694,206.9436,h5,haut,bas,0
TRULS-MOREGARD,9718,9724,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g2,,,53.192447662353516,-78.1603977839152,2,TRULS-MOREGARD,FAN-ZHENDONG,-54.80927305221557,48.63249842325846,100,9718,-18.91161518096924,64.11642227172851,2,9719,,1,FAN-ZHENDONG,,TRULS-MOREGARD,FAN-ZHENDONG,,,,34.922485,-156.64261,g4,-86.486694,206.9436,h5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,6,coup_droit,g2,revers,poussette,m1,pt_gagne,revers,2,m1,34.922485,-156.64261,g4,-86.486694,206.9436,h5,34.922485,-156.64261,g4,-86.486694,206.9436,h5,37.4989,-144.83044,g4,-84.320984,267.5702,h6,haut,bas,0
FAN-ZHENDONG,9725,9742,garcon,revers,1,att/att,serveur_point_contre,,defensif,m1,pt_gagne,poussette,-4.750891494750976,9.101845868428548,2,FAN-ZHENDONG,TRULS-MOREGARD,71.20767211914062,-172.41193318367004,100,9729,,,,,,2,FAN-ZHENDONG,,TRULS-MOREGARD,FAN-ZHENDONG,53.192447662353516,-78.1603977839152,2,37.4989,-144.83044,g4,-86.4353,273.90173,h6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,6,coup_droit,g2,revers,poussette,m1,pt_gagne,revers,2,m1,37.4989,-144.83044,g4,-86.4353,273.90173,h6,37.4989,-144.83044,g4,-96.20648,283.58118,h7,34.920837,-152.69742,g4,-73.9483,225.98358,g5,haut,bas,1
TRULS-MOREGARD,10126,10133,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,d2,,,-64.87394800186158,-70.7840345064799,2,TRULS-MOREGARD,FAN-ZHENDONG,-63.49910726547241,58.380163955688474,100,10126,-69.17977297306061,32.660261917114255,2,10127,,1,FAN-ZHENDONG,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,,,,34.920837,-152.69742,g4,-73.9483,225.98358,g5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,7,coup_droit,d2,coup_droit,poussette,m2,filet,revers,5,g3,34.920837,-152.69742,g4,-73.9483,225.98358,g5,34.920837,-152.69742,g4,-73.9483,225.98358,g5,3.3740234,-98.23218,m4,-45.663452,288.06305,g7,haut,bas,0
FAN-ZHENDONG,10134,10147,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-20.975893020629883,57.77407162984212,2,FAN-ZHENDONG,TRULS-MOREGARD,-57.87901201248169,-165.54719983736675,100,10137,,,,,,2,FAN-ZHENDONG,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,-64.87394800186158,-70.7840345064799,2,-2.645874,-102.05548,m4,-44.819214,291.11737,g7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,7,coup_droit,d2,coup_droit,poussette,m2,filet,revers,5,g3,-2.645874,-102.05548,m4,-44.819214,291.11737,g7,-13.832092,-105.877594,m4,-47.822998,294.29895,g7,-9.0408325,-137.0,m4,-66.08661,251.24353,g6,haut,bas,0
TRULS-MOREGARD,10148,10158,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,d2,,poussette,-44.589921951293945,-81.17371333440146,2,TRULS-MOREGARD,FAN-ZHENDONG,-12.271932601928711,44.84715639750163,100,10148,,,,,,3,FAN-ZHENDONG,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,-20.975893020629883,57.77407162984212,2,-2.0876465,-133.08466,m4,-66.27673,244.91339,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,7,coup_droit,d2,coup_droit,poussette,m2,filet,revers,5,g3,-2.0876465,-133.08466,m4,-66.27673,244.91339,g6,-2.0876465,-133.08466,m4,-66.27673,244.91339,g6,-30.512268,-176.70413,d4,-53.586914,250.85394,g6,haut,bas,0
