nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
ALEXIS-LEBRUN,3710,3744,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,47.07937393188477,71.66632372538248,2,ALEXIS-LEBRUN,MA-LONG,7.454077529907226,-162.2607882340749,100,3731,58.07475128173828,-71.48328269322714,2,3734,
MA-LONG,3745,3755,garcon,coup_droit,1,att/att,MA-LONG,,offensif,m3,,topspin,0.99615478515625,-111.79441281954448,2,MA-LONG,ALEXIS-LEBRUN,-5.5827068328857425,134.90228157043458,100,3749,,,,,
ALEXIS-LEBRUN,3756,3766,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g2,,bloc,-41.535338401794434,86.89517733256022,2,ALEXIS-LEBRUN,MA-LONG,-42.136542892456056,-197.1319862683614,100,3757,,,,,
MA-LONG,3767,3775,garcon,revers,1,att/att,MA-LONG,,intermediaire,m3,,topspin,22.26030502319336,-95.88647737503052,2,MA-LONG,ALEXIS-LEBRUN,-87.11634068489074,147.98286259969075,100,3768,,,,,
ALEXIS-LEBRUN,3776,3795,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,29.069338989257812,-262.7294212341309,100,3780,,,,,
ALEXIS-LEBRUN,4087,4113,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,-62.40498046875,124.34822336832683,2,ALEXIS-LEBRUN,MA-LONG,50.34573822021484,-159.11258177757264,100,4101,52.960731506347656,-127.56973834832509,2,4102,
MA-LONG,4114,4121,garcon,revers,1,att/att,MA-LONG,,intermediaire,m2,,topspin,6.339651107788086,-65.70343840916952,2,MA-LONG,ALEXIS-LEBRUN,-78.70369701385498,145.21410840352377,100,4114,,,,,
ALEXIS-LEBRUN,4122,4131,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,-41.55225143432617,85.38381385803223,2,ALEXIS-LEBRUN,MA-LONG,9.197254180908203,-208.52288808822632,100,4126,,,,,
MA-LONG,4132,4147,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,MA-LONG,ALEXIS-LEBRUN,-115.66030025482178,205.67267150878905,100,4133,,,,,
MA-LONG,4695,4719,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,-3.098821258544922,-56.0432627360026,2,MA-LONG,ALEXIS-LEBRUN,-137.07482681274413,184.84516372680665,100,4706,-62.69601998329163,96.58117446899413,2,4710,
ALEXIS-LEBRUN,4720,4731,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,d3,,flip,31.93923454284668,112.58910547892252,2,ALEXIS-LEBRUN,MA-LONG,8.170158004760742,-106.89696445465088,100,4725,,,,,
