frame,numero_pers,joint,x,y,tracking,est_joueur
0,14,20,0,0,14,0
0,14,21,509.92,153.305,14,0
0,14,22,0,0,14,0
0,14,23,0,0,14,0
0,14,24,0,0,14,0
0,15,0,5.37951,163.167,15,0
0,15,1,5.37453,178.686,15,0
0,15,2,5.38614,178.779,15,0
0,15,3,0,0,15,0
0,15,4,0,0,15,0
0,15,5,5.35649,167.017,15,0
0,15,6,0,0,15,0
0,15,7,0,0,15,0
0,15,8,5.3625,198.365,15,0
0,15,9,5.37329,202.325,15,0
0,15,10,0,0,15,0
0,15,11,0,0,15,0
0,15,12,5.34408,196.448,15,0
0,15,13,5.33636,206.211,15,0
0,15,14,22.0295,241.438,15,0
0,15,15,0,0,15,0
0,15,16,5.37138,159.189,15,0
0,15,17,0,0,15,0
0,15,18,5.37374,161.144,15,0
0,15,19,20.1098,243.503,15,0
0,15,20,22.1189,243.456,15,0
0,15,21,22.1486,243.398,15,0
0,15,22,0,0,15,0
0,15,23,0,0,15,0
0,15,24,0,0,15,0
0,16,0,1170.1,55.4159,16,0
0,16,1,1152.42,71.0073,16,0
0,16,2,1134.89,70.9816,16,0
0,16,3,1130.94,102.339,16,0
0,16,4,1144.64,112.152,16,0
0,16,5,1168.17,71.0427,16,0
0,16,6,1177.94,100.414,16,0
0,16,7,1160.3,104.325,16,0
0,16,8,1152.42,118.123,16,0
0,16,9,1136.81,118.127,16,0
0,16,10,0,0,16,0
0,16,11,0,0,16,0
0,16,12,1156.39,118.071,16,0
0,16,13,0,0,16,0
0,16,14,0,0,16,0
0,16,15,1156.43,53.3748,16,0
0,16,16,1172.07,55.288,16,0
0,16,17,1150.49,53.34,16,0
0,16,18,0,0,16,0
0,16,19,0,0,16,0
0,16,20,0,0,16,0
0,16,21,0,0,16,0
0,16,22,0,0,16,0
0,16,23,0,0,16,0
0,16,24,0,0,16,0
0,17,0,1009.49,84.7096,17,0
0,17,1,1009.52,92.5711,17,0
0,17,2,1011.35,90.568,17,0
0,17,3,0,0,17,0
0,17,4,0,0,17,0
0,17,5,1023.17,96.4554,17,0
0,17,6,1021.18,102.452,17,0
0,17,7,0,0,17,0
0,17,8,1009.49,118.027,17,0
0,17,9,1013.38,117.99,17,0
0,17,10,0,0,17,0
0,17,11,0,0,17,0
0,17,12,0,0,17,0
0,17,13,0,0,17,0
0,17,14,0,0,17,0
0,17,15,1011.35,84.7145,17,0
0,17,16,1009.48,84.6046,17,0
0,17,17,1009.49,82.7347,17,0
0,17,18,0,0,17,0
0,17,19,0,0,17,0
0,17,20,0,0,17,0
0,17,21,0,0,17,0
0,17,22,0,0,17,0
0,17,23,0,0,17,0
0,17,24,0,0,17,0
0,18,0,1191.63,57.3506,18,0
0,18,1,1195.5,73.002,18,0
0,18,2,1179.86,71.1349,18,0
